               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.030007,            0.011311,           0.0060183,              0.9847,                   1,               0.995,             0.72575,            0.020082,           0.0046238,           0.0014184,            0.005644,            0.005644,            0.005644
                 134,            0.028835,            0.010618,           0.0059132,             0.98555,                   1,               0.995,             0.71212,            0.024143,           0.0052115,           0.0014809,            0.005611,            0.005611,            0.005611
                 135,            0.026996,            0.010536,           0.0055103,             0.88305,                   1,               0.995,             0.44489,            0.038972,           0.0073599,           0.0024355,            0.005578,            0.005578,            0.005578
                 136,            0.030487,            0.011325,           0.0060283,             0.92823,                   1,               0.995,               0.553,            0.033113,           0.0069025,           0.0021383,            0.005545,            0.005545,            0.005545
                 137,            0.030044,            0.010966,           0.0051147,             0.97733,                   1,               0.995,             0.67342,            0.024933,           0.0063457,           0.0015482,            0.005512,            0.005512,            0.005512
                 138,            0.027992,             0.01042,           0.0049226,             0.97675,                   1,               0.995,             0.73836,            0.019175,           0.0050285,           0.0013184,            0.005479,            0.005479,            0.005479
                 139,            0.027468,            0.010434,           0.0053927,             0.97156,                   1,               0.995,             0.73675,            0.020028,           0.0048099,           0.0012563,            0.005446,            0.005446,            0.005446
                 140,            0.028555,            0.010094,           0.0045779,              0.9741,                   1,               0.995,             0.72983,             0.01913,           0.0047836,           0.0013112,            0.005413,            0.005413,            0.005413
                 141,            0.027822,              0.0103,           0.0051597,             0.97567,                   1,               0.995,             0.74549,            0.018717,            0.004548,           0.0013171,             0.00538,             0.00538,             0.00538
                 142,            0.027932,            0.010689,           0.0064189,             0.97597,                   1,               0.995,             0.74169,            0.021204,           0.0047288,           0.0014128,            0.005347,            0.005347,            0.005347
                 143,            0.027878,            0.010066,           0.0042385,             0.97754,                   1,               0.995,             0.81013,            0.022419,           0.0051468,            0.001612,            0.005314,            0.005314,            0.005314
                 144,            0.030391,            0.010972,           0.0069402,             0.98094,                   1,               0.995,             0.70764,            0.025413,           0.0050817,           0.0014461,            0.005281,            0.005281,            0.005281
                 145,            0.028211,           0.0098835,           0.0043269,             0.97994,                   1,               0.995,             0.71679,            0.021868,           0.0048027,           0.0015062,            0.005248,            0.005248,            0.005248
                 146,            0.029406,             0.01146,           0.0062519,             0.98257,                   1,               0.995,             0.79885,            0.022013,           0.0047971,           0.0015028,            0.005215,            0.005215,            0.005215
                 147,            0.029058,            0.010153,           0.0062571,             0.98121,                   1,               0.995,             0.77529,            0.021932,           0.0050866,           0.0016059,            0.005182,            0.005182,            0.005182
                 148,            0.027505,           0.0095234,           0.0054018,             0.98108,                   1,               0.995,             0.75302,            0.019322,           0.0045756,           0.0015175,            0.005149,            0.005149,            0.005149
                 149,            0.028677,           0.0098796,            0.005212,             0.98002,                   1,               0.995,             0.79339,            0.017638,           0.0046246,           0.0015591,            0.005116,            0.005116,            0.005116
                 150,            0.027518,            0.010463,           0.0044755,             0.98486,                   1,               0.995,             0.78966,             0.01981,           0.0045583,           0.0015239,            0.005083,            0.005083,            0.005083
                 151,            0.028872,            0.010848,            0.004266,             0.98623,                   1,               0.995,             0.76657,            0.019437,           0.0044799,           0.0014458,             0.00505,             0.00505,             0.00505
